Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-10-02T03:40:00+00:00,,,51.710258,-3.441367,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,,
Person search,2015-10-02T05:07:00+00:00,,,,,Male,over 34,,,,,,,
Person search,2015-10-02T05:25:00+00:00,,,51.582830,-3.443147,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-10-02T05:28:00+00:00,,,51.582830,-3.443147,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-10-02T07:14:00+00:00,,,51.711924,-3.443374,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,
Person search,2015-10-02T07:22:00+00:00,,,51.711924,-3.443374,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,
Person search,2015-10-02T10:34:00+00:00,,,51.663505,-3.799977,Male,over 34,Not Stated (NS),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-10-02T13:00:00+00:00,,,,,,,,,,,,,
Person search,2015-10-02T20:17:00+00:00,,,,,Male,over 34,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,
Person search,2015-10-02T22:36:00+00:00,,,51.650200,-3.975301,Female,over 34,Not Stated (NS),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-10-02T22:41:00+00:00,,,51.650200,-3.975301,Female,over 34,Not Stated (NS),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-10-03T00:55:00+00:00,,,51.406954,-3.263214,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person and Vehicle search,2015-10-03T01:07:00+00:00,,,,,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-10-03T02:30:00+00:00,,,,,Male,over 34,,,,,,,
Person search,2015-10-03T02:56:00+00:00,,,,,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,
Person search,2015-10-03T03:13:00+00:00,,,51.517229,-3.574131,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,,
Person search,2015-10-03T04:07:00+00:00,,,51.591828,-3.780496,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-10-03T04:49:00+00:00,,,,,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,,
Person search,2015-10-03T05:00:00+00:00,,,,,Female,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,,
Person search,2015-10-03T05:03:00+00:00,,,,,Female,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,,
Person search,2015-10-03T14:12:00+00:00,,,,,Male,18-24,,,,,,,
Person search,2015-10-03T15:45:00+00:00,,,51.645962,-3.472844,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Offender given drugs possession warning,,
Person search,2015-10-03T15:52:00+00:00,,,51.645962,-3.472844,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,
Person search,2015-10-03T16:07:00+00:00,,,51.489892,-3.170945,Male,10-17,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-10-03T18:50:00+00:00,,,51.485992,-3.166222,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2015-10-03T20:00:00+00:00,,,51.618704,-3.940578,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-10-03T21:26:00+00:00,,,51.488394,-3.154300,Male,18-24,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,,
Person search,2015-10-03T21:31:00+00:00,,,51.493706,-3.163596,Male,over 34,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,,
Person search,2015-10-03T23:44:00+00:00,,,51.488394,-3.154300,Male,25-34,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,
Person and Vehicle search,2015-10-03T23:48:00+00:00,,,51.475630,-3.248580,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given penalty notice,,
