Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2016-02-20T02:35:00+00:00,,,52.381238,-2.250147,Male,18-24,White - Any other White ethnic background (W9),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-02-20T03:30:00+00:00,,,52.196772,-2.225013,Male,18-24,White - Any other White ethnic background (W9),White,Criminal Justice Act 1988 (section 139B),Offensive weapons,Suspect arrested,True,False
Person search,2016-02-20T04:26:00+00:00,,,52.189420,-2.228677,Female,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2016-02-20T09:11:00+00:00,,,52.196772,-2.225013,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-02-20T13:05:00+00:00,,,52.114240,-2.079060,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-02-20T13:08:00+00:00,,,52.114240,-2.079060,Male,10-17,White - White British (W1),Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-02-20T13:19:00+00:00,,,52.114240,-2.079060,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-02-20T14:55:00+00:00,,,52.381542,-2.242524,Male,,White - White British (W1),White,,Detailed object of search unavailable,Nothing found - no further action,,False
Person search,2016-02-20T15:27:34+00:00,,,52.190279,-2.221484,Male,25-34,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,False
Person and Vehicle search,2016-02-20T17:17:00+00:00,,,52.710290,-2.738395,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-02-20T18:35:00+00:00,,,52.708018,-2.519376,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2016-02-20T21:54:00+00:00,,,52.265039,-2.175994,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2016-02-20T21:54:00+00:00,,,52.265039,-2.175994,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-02-20T21:54:00+00:00,,,52.265039,-2.175994,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-02-21T00:21:00+00:00,,,52.709910,-2.457262,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person and Vehicle search,2016-02-21T00:45:00+00:00,,,52.403714,-1.850558,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-02-21T00:45:00+00:00,,,52.057855,-2.713686,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person search,2016-02-21T00:45:00+00:00,,,52.716141,-2.722639,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
