Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-12-01T00:45:00+00:00,,,54.560178,-3.555568,Male,over 34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2015-12-01T02:50:00+00:00,True,OP HUNTER,52.592328,-0.225170,Male,18-24,Not Stated (NS),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-12-01T03:50:00+00:00,,,52.555745,-0.229508,Male,25-34,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person and Vehicle search,2015-12-01T12:45:00+00:00,True,OP DORNIER,54.818342,-3.425310,Male,over 34,White - White British (W1),,,Game or poaching equipment,Nothing found - no further action,,
Person and Vehicle search,2015-12-01T12:45:00+00:00,True,OP DORNIER,52.494949,0.374077,Male,25-34,White - White British (W1),,,Game or poaching equipment,Nothing found - no further action,,
Person search,2015-12-01T15:00:00+00:00,,,54.635579,-3.570067,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-01T15:00:00+00:00,,,54.635579,-3.570067,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-01T15:05:00+00:00,,,,,Male,10-17,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-01T15:05:00+00:00,,,,,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-01T15:05:00+00:00,,,,,Male,10-17,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-01T18:40:00+00:00,,,54.566867,-3.562397,Male,10-17,Asian or Asian British - Any other Asian ethnic background (A9),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-01T23:30:00+00:00,,,,,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-02T00:05:00+00:00,,,,,Male,18-24,Asian or Asian British - Pakistani (A2),,,Firearms,Nothing found - no further action,,
Person and Vehicle search,2015-12-02T12:40:00+00:00,,,52.494949,0.374077,Male,18-24,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person and Vehicle search,2015-12-02T12:40:00+00:00,,,52.494949,0.374077,Male,18-24,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Vehicle search,2015-12-02T13:25:00+00:00,,,52.342807,0.411635,,,Not Stated (NS),,,Game or poaching equipment,Article found - Detailed outcome unavailable,False,
Person search,2015-12-02T16:05:00+00:00,,,52.227769,0.148242,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-02T21:25:00+00:00,True,op layer,,,Male,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Offender given penalty notice,True,
Person search,2015-12-02T21:30:00+00:00,True,op layer,54.554235,-3.548059,Male,18-24,Asian or Asian British - Pakistani (A2),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-02T21:30:00+00:00,True,OP layer,52.587873,-0.246592,Male,25-34,Asian or Asian British - Pakistani (A2),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-02T21:36:00+00:00,True,op layer,54.554235,-3.548059,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-02T22:45:00+00:00,,,52.574020,-0.241286,Female,25-34,White - Any other White ethnic background (W9),,,Stolen goods,Nothing found - no further action,,
Person and Vehicle search,2015-12-03T00:22:00+00:00,,,,,Male,over 34,Black or Black British - Any other Black ethnic background (B9),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-03T00:35:00+00:00,,,,,Female,over 34,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-03T00:45:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Person search,2015-12-03T01:10:00+00:00,,,52.590292,-0.246628,Female,25-34,White - Any other White ethnic background (W9),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-12-03T02:19:00+00:00,,,52.196102,0.155977,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-03T02:30:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-03T09:54:00+00:00,,,52.583692,-0.249017,Male,18-24,White - Any other White ethnic background (W9),,,Stolen goods,Nothing found - no further action,,
Person and Vehicle search,2015-12-03T11:15:00+00:00,,,52.552617,0.092769,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-03T13:50:00+00:00,,,52.401207,0.272102,Female,25-34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2015-12-04T01:40:00+00:00,,,52.194988,0.131209,Male,25-34,White - Any other White ethnic background (W9),,,Article for use in theft,Offender given drugs possession warning,True,
Person and Vehicle search,2015-12-04T02:10:00+00:00,,,,,Male,18-24,White - White Irish (W2),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T13:28:00+00:00,,,52.401207,0.272102,Male,25-34,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2015-12-04T13:35:00+00:00,True,OP HOLBURN,,,Male,25-34,Black or Black British - Any other Black ethnic background (B9),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-04T13:40:00+00:00,,,54.714422,-3.508331,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,False,
Person and Vehicle search,2015-12-04T13:50:00+00:00,True,OP HOLBAN,,,Male,18-24,Black or Black British - African (B2),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T15:30:00+00:00,,,,,Female,25-34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2015-12-04T15:30:00+00:00,,,,,Female,25-34,White - White British (W1),,,Stolen goods,Article found - Detailed outcome unavailable,True,
Person and Vehicle search,2015-12-04T23:05:00+00:00,,,,,Male,25-34,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2015-12-04T23:15:00+00:00,,,52.556687,-0.278696,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-04T23:15:00+00:00,,,54.536005,-3.597324,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2015-12-04T23:15:00+00:00,,,54.536005,-3.597324,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T23:15:00+00:00,,,54.536005,-3.597324,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T23:15:00+00:00,,,52.556687,-0.278696,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-05T00:40:00+00:00,,,52.575418,-0.238603,Male,18-24,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-05T02:20:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2015-12-05T03:45:00+00:00,,,52.329957,-0.184222,Male,25-34,White - White British (W1),,,Offensive weapons,Nothing found - no further action,,
Person search,2015-12-05T10:45:00+00:00,True,op layer,54.556538,-3.558399,Male,25-34,Black or Black British - African (B2),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-05T11:10:00+00:00,,,52.569520,-0.241009,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-05T12:00:00+00:00,True,OP LAYER,52.580228,-0.250070,Male,10-17,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Vehicle search,2015-12-05T12:50:00+00:00,,,,,Male,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Offender given drugs possession warning,True,
Vehicle search,2015-12-05T12:50:00+00:00,,,,,Male,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-05T15:30:00+00:00,,,,,Male,25-34,Mixed - White and Black African (M2),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-06T01:35:00+00:00,,,52.575820,-0.240845,Male,25-34,White - Any other White ethnic background (W9),,,Controlled drugs,Offender cautioned,,
Person search,2015-12-06T11:15:00+00:00,,,52.212206,0.129296,Male,18-24,White - White British (W1),,,Stolen goods,Suspect arrested,,
Person search,2015-12-06T13:30:00+00:00,,,,,Male,18-24,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-06T13:30:00+00:00,,,,,Male,,Not Stated (NS),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Person search,2015-12-06T13:30:00+00:00,,,,,Male,18-24,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-07T12:20:00+00:00,,,54.556538,-3.558399,Male,25-34,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-07T15:35:00+00:00,,,,,Male,25-34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2015-12-07T15:40:00+00:00,,,52.587873,-0.246592,Male,over 34,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-08T13:30:00+00:00,,,52.582894,-0.236444,Male,10-17,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Person search,2015-12-08T13:35:00+00:00,,,52.582894,-0.236444,Male,18-24,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Person search,2015-12-08T13:35:00+00:00,,,52.582894,-0.236444,Male,10-17,Black or Black British - Caribbean (B1),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Person search,2015-12-08T14:55:00+00:00,,,,,Male,25-34,Black or Black British - Caribbean (B1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-08T22:25:00+00:00,,,52.657505,0.160707,Female,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-08T22:30:00+00:00,,,52.657505,0.160707,Male,18-24,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Person search,2015-12-09T00:00:00+00:00,,,52.582862,-0.257361,Male,10-17,White - Any other White ethnic background (W9),,,Stolen goods,Nothing found - no further action,,
Person search,2015-12-09T00:05:00+00:00,,,54.552758,-3.548297,Male,18-24,White - Any other White ethnic background (W9),,,Article for use in theft,Nothing found - no further action,,
Person and Vehicle search,2015-12-09T00:55:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-09T11:40:00+00:00,True,OP ICARUS,,,Male,10-17,Black or Black British - Any other Black ethnic background (B9),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-09T12:55:00+00:00,,,,,Female,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,,
Person and Vehicle search,2015-12-09T19:15:00+00:00,,,,,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-09T20:30:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-09T20:30:00+00:00,,,52.103257,0.232436,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-09T20:30:00+00:00,,,52.128369,0.221681,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2015-12-09T23:35:00+00:00,,,,,Male,25-34,Not Stated (NS),,,Article for use in theft,Offender given penalty notice,,
Person and Vehicle search,2015-12-09T23:45:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-09T23:50:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-10T00:45:00+00:00,,,52.214492,0.124677,Male,over 34,Black or Black British - Caribbean (B1),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Person and Vehicle search,2015-12-10T01:00:00+00:00,,,,,Male,25-34,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2015-12-10T04:00:00+00:00,,,52.215665,0.115466,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-10T04:00:00+00:00,,,52.215665,0.115466,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-10T04:10:00+00:00,,,52.576374,-0.247848,Male,18-24,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-10T04:30:00+00:00,,,52.213824,0.110797,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-10T04:30:00+00:00,,,,,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-12-10T04:30:00+00:00,,,52.213824,0.110797,Female,25-34,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Person search,2015-12-10T10:30:00+00:00,,,52.582894,-0.236444,Male,10-17,Asian or Asian British - Pakistani (A2),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Person search,2015-12-10T21:05:00+00:00,,,52.215411,0.135524,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-11T01:55:00+00:00,,,52.215665,0.115466,Male,25-34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-11T03:01:00+00:00,,,52.219726,0.111633,Male,25-34,White - White British (W1),,,Offensive weapons,Nothing found - no further action,,
Person search,2015-12-11T03:18:00+00:00,,,52.219726,0.111633,Female,25-34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
