Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-09-01T19:00:00+00:00,,,,,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-01T19:00:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,,
Person search,2015-09-01T20:15:00+00:00,,,,,Male,10-17,Asian or Asian British - Bangladeshi (A3),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-09-01T20:17:00+00:00,,,52.204455,0.117831,Male,10-17,,,,Article for use in theft,Nothing found - no further action,,
Person search,2015-09-01T22:30:00+00:00,,,52.665941,0.159112,Male,over 34,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-09-01T22:30:00+00:00,,,54.807078,-3.389920,Male,over 34,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person and Vehicle search,2015-09-01T23:35:00+00:00,,,,,Male,18-24,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-09-01T23:52:00+00:00,,,,,Male,18-24,Black or Black British - African (B2),,,Controlled drugs,Suspect arrested,,
Person search,2015-09-02T00:40:00+00:00,,,52.665150,0.163036,Male,18-24,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-09-02T11:50:00+00:00,,,52.213313,0.147603,Male,18-24,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-09-02T14:55:00+00:00,,,52.254647,-0.244424,Male,18-24,Not Stated (NS),,,Controlled drugs,Suspect arrested,,
Person search,2015-09-02T15:00:00+00:00,,,52.254647,-0.244424,Male,25-34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-09-02T17:00:00+00:00,,,,,Male,25-34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-09-02T17:00:00+00:00,,,,,Male,25-34,White - Any other White ethnic background (W9),,,Controlled drugs,Offender given drugs possession warning,,
Person search,2015-09-02T17:20:00+00:00,,,,,Male,over 34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person and Vehicle search,2015-09-02T22:15:00+00:00,,,52.610621,-0.259493,Male,25-34,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-09-02T23:20:00+00:00,,,,,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-02T23:22:00+00:00,,,,,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-02T23:24:00+00:00,,,,,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-02T23:27:00+00:00,,,,,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-02T23:30:00+00:00,,,,,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-03T00:00:00+00:00,,,52.549391,-0.269763,Male,25-34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2015-09-03T12:24:00+00:00,,,,,Male,25-34,White - White British (W1),,,Stolen goods,Suspect arrested,,
Person search,2015-09-03T12:25:00+00:00,,,,,Male,over 34,Not Stated (NS),,,Stolen goods,Suspect arrested,,
Person and Vehicle search,2015-09-03T19:25:00+00:00,,,52.331788,0.330747,Male,18-24,White - Any other White ethnic background (W9),,,Stolen goods,Nothing found - no further action,,
Person and Vehicle search,2015-09-03T19:25:00+00:00,,,52.331788,0.330747,Male,18-24,White - Any other White ethnic background (W9),,,Stolen goods,Nothing found - no further action,,
Person search,2015-09-03T20:50:00+00:00,,,52.408582,0.259351,Male,25-34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person and Vehicle search,2015-09-03T21:30:00+00:00,,,,,Female,25-34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-09-03T21:30:00+00:00,,,,,Male,over 34,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-03T21:45:00+00:00,,,52.224579,0.122318,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-04T00:35:00+00:00,,,,,Male,10-17,Mixed - Any other Mixed ethnic background (M9),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-04T00:40:00+00:00,,,52.651633,0.141405,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-04T00:40:00+00:00,,,52.651633,0.141405,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-04T00:40:00+00:00,,,,,Female,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-04T00:50:00+00:00,,,52.212804,0.171965,Female,25-34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-04T00:55:00+00:00,,,,,Female,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-09-04T02:45:00+00:00,,,54.807078,-3.389920,Male,18-24,Asian or Asian British - Indian (A1),,,Controlled drugs,Offender given penalty notice,,
Person search,2015-09-04T14:00:00+00:00,,,52.223903,0.126400,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-04T14:00:00+00:00,,,52.223903,0.126400,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-04T14:10:00+00:00,,,,,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-04T14:49:00+00:00,,,52.192661,0.183201,Male,10-17,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person and Vehicle search,2015-09-04T19:00:00+00:00,,,52.332428,0.338398,Male,over 34,Black or Black British - Any other Black ethnic background (B9),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-09-04T23:01:00+00:00,,,52.568504,-0.241610,Male,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-05T02:55:00+00:00,,,52.205632,0.118839,Male,25-34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-05T09:53:00+00:00,,,,,Male,25-34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2015-09-05T16:45:00+00:00,,,52.214492,0.124677,Male,over 34,Black or Black British - African (B2),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-05T21:45:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-05T22:45:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,,
Person search,2015-09-05T23:10:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-05T23:30:00+00:00,,,52.580436,-0.245310,Male,25-34,White - Any other White ethnic background (W9),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-09-05T23:45:00+00:00,,,54.559412,-3.554348,Male,25-34,,,,Article for use in theft,Nothing found - no further action,,
Person search,2015-09-05T23:45:00+00:00,,,54.559412,-3.554348,Male,25-34,,,,Article for use in theft,Nothing found - no further action,,
Person and Vehicle search,2015-09-06T17:20:00+00:00,,,52.583392,-0.243952,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-09-06T17:30:00+00:00,,,52.583392,-0.243952,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-09-06T17:30:00+00:00,,,52.583392,-0.243952,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,,
Person search,2015-09-06T18:05:00+00:00,,,52.199132,0.127266,Male,18-24,White - Any other White ethnic background (W9),,,Article for use in theft,Article found - Detailed outcome unavailable,,
Person search,2015-09-06T19:30:00+00:00,,,,,Male,25-34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-06T21:35:00+00:00,,,,,Male,18-24,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-09-07T06:55:00+00:00,,,52.195251,0.141493,Male,25-34,Asian or Asian British - Indian (A1),,,Controlled drugs,Article found - Detailed outcome unavailable,,
Person and Vehicle search,2015-09-07T13:05:00+00:00,,,,,Male,25-34,Mixed - White and Black African (M2),,,Stolen goods,Nothing found - no further action,,
Person search,2015-09-07T13:58:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-07T14:05:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-07T14:05:00+00:00,,,,,Female,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,,
Person search,2015-09-07T14:12:00+00:00,,,,,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-07T14:20:00+00:00,,,,,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-07T16:40:00+00:00,,,52.399758,0.263707,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-07T21:45:00+00:00,,,,,Male,over 34,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-09-07T21:45:00+00:00,,,,,Male,18-24,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person and Vehicle search,2015-09-07T22:30:00+00:00,,,54.561451,-3.555849,Male,25-34,Asian or Asian British - Any other Asian ethnic background (A9),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-08T10:18:00+00:00,,,52.336417,-0.179832,Male,18-24,White - White British (W1),,,Anything to threaten or harm anyone,Nothing found - no further action,,
Person search,2015-09-08T13:33:00+00:00,,,52.229507,-0.268771,Male,over 34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person and Vehicle search,2015-09-08T22:00:00+00:00,,,52.597493,-0.212898,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-08T22:00:00+00:00,,,52.597493,-0.212898,Female,25-34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-09T09:30:00+00:00,,,54.537050,-3.600548,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-09T09:30:00+00:00,,,52.544709,-0.284135,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-09T09:30:00+00:00,,,52.544709,-0.284135,Male,25-34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-09-09T11:15:00+00:00,,,52.186127,0.181081,Male,25-34,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-09-09T14:45:00+00:00,,,52.396751,0.246958,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-09T14:45:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-09T15:50:00+00:00,,,,,Male,10-17,Mixed - Any other Mixed ethnic background (M9),,,Controlled drugs,Suspect arrested,,
Person search,2015-09-09T19:30:00+00:00,,,52.665430,0.167398,Male,25-34,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-09T19:30:00+00:00,,,52.665430,0.167398,Male,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-09T19:35:00+00:00,,,52.665430,0.167398,Male,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-09T19:40:00+00:00,,,52.665430,0.167398,Male,25-34,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-09T19:45:00+00:00,,,52.665430,0.167398,Male,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-09T19:45:00+00:00,,,52.665430,0.167398,Male,25-34,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-09-09T22:05:00+00:00,,,52.566175,-0.240951,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-09-09T22:10:00+00:00,,,52.566175,-0.240951,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,,
Person search,2015-09-10T00:40:00+00:00,,,52.338840,-0.180115,Male,10-17,Asian or Asian British - Pakistani (A2),,,Controlled drugs,Article found - Detailed outcome unavailable,,
Person and Vehicle search,2015-09-10T01:21:00+00:00,,,,,Male,18-24,Black or Black British - African (B2),,,Controlled drugs,Offender given drugs possession warning,,
Person and Vehicle search,2015-09-10T17:55:00+00:00,,,52.126858,0.168075,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-10T18:46:00+00:00,,,,,Male,10-17,Asian or Asian British - Indian (A1),,,Offensive weapons,Nothing found - no further action,,
Person search,2015-09-10T21:35:00+00:00,,,,,Male,18-24,Black or Black British - African (B2),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-09-10T21:53:00+00:00,,,,,Male,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Offender given drugs possession warning,,
Person and Vehicle search,2015-09-10T21:55:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,,
Person and Vehicle search,2015-09-11T08:30:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-09-11T09:30:00+00:00,,,52.542770,0.093864,Male,25-34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-09-11T11:10:00+00:00,,,,,Female,25-34,Not Stated (NS),,,Controlled drugs,Offender given drugs possession warning,,
Person and Vehicle search,2015-09-11T12:15:00+00:00,,,,,Male,18-24,Black or Black British - Caribbean (B1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-11T12:15:00+00:00,,,54.537050,-3.600548,Male,10-17,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,,
Person and Vehicle search,2015-09-11T12:20:00+00:00,,,,,Male,18-24,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-09-11T12:30:00+00:00,,,,,Female,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-09-11T12:50:00+00:00,,,,,Male,18-24,Black or Black British - African (B2),,,Controlled drugs,Article found - Detailed outcome unavailable,,
Person search,2015-09-11T23:20:00+00:00,,,52.202956,0.123160,Male,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Offender given drugs possession warning,,
Person search,2015-09-12T00:25:00+00:00,,,52.665561,0.157259,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-09-12T01:55:00+00:00,,,52.592792,-0.236401,Male,10-17,White - Any other White ethnic background (W9),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-09-12T01:55:00+00:00,,,54.560789,-3.544364,Male,10-17,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
