Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5b1831a9733344228858a427b8826872471d94147fb8cbb70767d72624ae2dc1,2015-11,Surrey Police,Surrey Police,-0.331982,51.358599,On or near FISHERDENE,E01030296,Elmbridge 015A,Investigation complete; no suspect identified
483e71c97a14af6bfe6288c2b5e0efdc8d12b3875665d319aaf51aedffb5f868,2015-11,Surrey Police,Surrey Police,-0.361999,51.361064,On or near LAKESIDE DRIVE,E01030307,Elmbridge 013A,Investigation complete; no suspect identified
931c3ebefe6e68a7f71afcdeeb67114757cf7624889a69cc1330fd7b45a9b28c,2015-11,Surrey Police,Surrey Police,-0.365090,51.361008,On or near HOME FARM CLOSE,E01030309,Elmbridge 013C,Investigation complete; no suspect identified
4b6bc706849e08f8e86eef120607773a5ae6c7c9fbc27303b4df0f5ce5626d92,2015-11,Surrey Police,Surrey Police,-0.406296,51.337494,On or near DENBY ROAD,E01030306,Elmbridge 017F,Investigation complete; no suspect identified
fca6e6c10325790ce58fa9f8327ec2247fd49ace77a1d29321881b22c9bcee81,2015-11,Surrey Police,Surrey Police,-0.367114,51.367906,On or near Supermarket,E01030308,Elmbridge 013B,Investigation complete; no suspect identified
cf60f460ecb67365d8159f24b9df2eb6772a8ce3fadb63b84b5cb4c9ef795b04,2015-11,Surrey Police,Surrey Police,-0.366961,51.368974,On or near HEATHER PLACE,E01030308,Elmbridge 013B,Investigation complete; no suspect identified
72d2d3906650b1db648255504fb14e4e9672f0949a801a299797b5059e234e18,2015-11,Surrey Police,Surrey Police,-0.366961,51.368974,On or near HEATHER PLACE,E01030308,Elmbridge 013B,Investigation complete; no suspect identified
43f0418a93143e27c676556520dea7438a8df5122aae3d818ae57d3ecb89a571,2015-11,Surrey Police,Surrey Police,-0.346670,51.397834,On or near SUMMER GARDENS,E01030328,Elmbridge 002C,Investigation complete; no suspect identified
87ff1a5e337279155a19a727b5cb41bcaf7bc3fbe5e982a80e2e2fd864d873ad,2015-11,Surrey Police,Surrey Police,-0.345450,51.403374,On or near FELTHAM AVENUE,E01030326,Elmbridge 002A,Investigation complete; no suspect identified
8940d594f3d66528b2caa6e93551cdb7ba533e73e4629277e2333022371529e3,2015-11,Surrey Police,Surrey Police,-0.345413,51.403203,On or near HARDYS MEWS,E01030326,Elmbridge 002A,Investigation complete; no suspect identified
476ce2fbcd697525ce83feef562486bc3bfe2325bc34e666404b7947d0fcd4f2,2015-11,Surrey Police,Surrey Police,-0.356101,51.403021,On or near Theatre/Concert Hall,E01030329,Elmbridge 002D,Investigation complete; no suspect identified
934c5e6cf6cd2d090568633f9ef720b52b354747f3cf1ae93aafdad72a6198e2,2015-11,Surrey Police,Surrey Police,-0.356101,51.403021,On or near Theatre/Concert Hall,E01030329,Elmbridge 002D,Investigation complete; no suspect identified
0d6b0f63a2196da7b153e99b77cc0312488e905b624a8b5837b325ffdecd4a66,2015-11,Surrey Police,Surrey Police,-0.372185,51.379658,On or near MILL ROAD,E01030310,Elmbridge 013D,Investigation complete; no suspect identified
845d5d5a901d4cfa4dcbb8ec9c9fde74995237b9dc8bcd4630f41246dee12287,2015-11,Surrey Police,Surrey Police,-0.369950,51.380670,On or near SHERRIFF CLOSE,E01030310,Elmbridge 013D,Investigation complete; no suspect identified
893dd187c2ab49299f4bab5ee47d9df4a4f632f11e1051ed4da3a786b4506504,2015-11,Surrey Police,Surrey Police,-0.362717,51.381226,On or near BLAIR AVENUE,E01030310,Elmbridge 013D,Investigation complete; no suspect identified
f3f06faff00e587a8db4bbf29d43367c151750e2851a5ac9afa401aedf307c6b,2015-11,Surrey Police,Surrey Police,-0.372058,51.380403,On or near JOSEPH LOCKE WAY,E01030310,Elmbridge 013D,Investigation complete; no suspect identified
80993c6eb0f5be4b78571d168654886f0493d6810be2ef642135642d02af206c,2015-11,Surrey Police,Surrey Police,-0.372058,51.380403,On or near JOSEPH LOCKE WAY,E01030310,Elmbridge 013D,Investigation complete; no suspect identified
670f70ed23d908a8a81654e24d67407dd801ba85a660809cc605494facf73417,2015-11,Surrey Police,Surrey Police,-0.353771,51.380642,On or near STATION ROAD,E01030370,Elmbridge 009E,Investigation complete; no suspect identified
71165e97e076c331cb476f20b987ab5948cf9446d8d4e389348e0d129871310e,2015-11,Surrey Police,Surrey Police,-0.346843,51.384681,On or near THE BROADWAY,E01030370,Elmbridge 009E,Investigation complete; no suspect identified
e96aff24345570df35e597b385f8affe5f33cd534100bc091c56bfc270d14237,2015-11,Surrey Police,Surrey Police,-0.399728,51.363671,On or near PLEASANT PLACE,E01030317,Elmbridge 014E,Investigation complete; no suspect identified
853b694c1a8d4c121ef266caa62f3d74e0bddc9476f33282d70f72d56af43f79,2015-11,Surrey Police,Surrey Police,-0.393832,51.370029,On or near PEMBROKE AVENUE,E01030311,Elmbridge 014A,Investigation complete; no suspect identified
2131c6ebd04ba1d6b623158c4d2356e13f87787b764398ead4437a23da6ec15a,2015-11,Surrey Police,Surrey Police,-0.414842,51.372357,On or near MAYFIELD ROAD,E01030314,Elmbridge 010B,Investigation complete; no suspect identified
a79972e07d7adc3e03c280e54f5528cd387175352b9b0b3abc9a16cda9bb9ee5,2015-11,Surrey Police,Surrey Police,-0.412278,51.370461,On or near WOODSIDE AVENUE,E01030314,Elmbridge 010B,Investigation complete; no suspect identified
8f2dc8e30f463847872140ff0289d0855112e98ea36baa342f16d9e78cd0cc15,2015-11,Surrey Police,Surrey Police,-0.430789,51.351349,On or near CIRCLE ROAD,E01030318,Elmbridge 014F,Investigation complete; no suspect identified
