Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2570104ee9e1c139cdb924f59e7b0d55dbf35cd53a9cffd066b1cab73a5c6ebe,2015-11,Cleveland Police,Cleveland Police,-1.333534,54.586519,On or near RYDE ROAD,E01012274,Stockton-on-Tees 008F,Offender given absolute discharge
85283b5fcd42282f68453ddc32039f804da0c5c2e832178edd3b117ffc503272,2015-11,Cleveland Police,Cleveland Police,-1.150888,54.568255,On or near TAWNEY ROAD,E01012175,Redcar and Cleveland 009E,Offender given community sentence
15a8361362e76a8958ea7b991e937b8d47c6c537e56ac3a308b9057e21db240a,2015-11,Cleveland Police,Cleveland Police,-1.231712,54.574394,On or near Park/Open Space,E01012068,Middlesbrough 001A,Offender given conditional discharge
6173e1093fd86b810ce0f9f0717740f90e6b05722382605a99d0d8b4fcaca737,2015-11,Cleveland Police,Cleveland Police,-1.291630,54.607975,On or near Supermarket,E01012276,Stockton-on-Tees 002E,Offender given suspended prison sentence
298d42db9cf9bbf7e135c3bf8d1e4136d470189d81aba23fee0e09bd47ec2ca1,2015-11,Cleveland Police,Cleveland Police,-1.272533,54.619680,On or near SEDGEMOOR WAY,E01012245,Stockton-on-Tees 003F,Offender sent to prison
98c3cf1f07ac462f3c0c7725a82925525c638e18c6ed8fbfd1d9632fce30215d,2015-11,Cleveland Police,Cleveland Police,-1.247112,54.656183,On or near MALCOM ROAD,E01011962,Hartlepool 012B,Offender sent to prison
aa8b540d244f95c5307fb29ccfe573ed74f57e4815702b68012fcb7bc08202f0,2015-11,Cleveland Police,Cleveland Police,-1.155916,54.557704,On or near Supermarket,E01012173,Redcar and Cleveland 022E,Offender fined
0e2946ebca5c2538a61fac190e259accda5605693e5409367381232ef2084047,2015-11,Cleveland Police,Cleveland Police,-1.211347,54.686079,On or near STOCKTON STREET,E01011974,Hartlepool 005B,Court case unable to proceed
3109b0d1cf1615de9c26f1ddb5ecebceb1b13de560b75c3f2c2386c357257141,2015-11,Cleveland Police,Cleveland Police,-1.226344,54.571107,On or near STAMFORD STREET,E01033468,Middlesbrough 001G,Offender sent to prison
c18cdf6506a0c6ea6a697894aa0c48e793652ff0f747fead52e5e48c03ff4bf0,2015-11,Cleveland Police,Cleveland Police,-1.312141,54.563995,On or near FINKLE STREET,E01012266,Stockton-on-Tees 014E,Offender given conditional discharge
934d292c420db291e8fec4869ac28323abcdf93f996bb22d687871d64d233d3c,2015-11,Cleveland Police,Cleveland Police,-1.208954,54.690296,On or near MARINA WAY,E01011974,Hartlepool 005B,Offender fined
f9619faeab77b2ad064d57f3af8f60bff84b199dc4bfaa68eb45faef8c14a4b2,2015-11,Cleveland Police,Cleveland Police,-1.246483,54.564430,On or near THE MIDFIELD,E01012056,Middlesbrough 009D,Offender given suspended prison sentence
364d03374a3b0fc656f37e30fabade398b2d07c63682d7e69ff99c5bacdcad48,2015-11,Cleveland Police,Cleveland Police,-1.240953,54.574920,On or near Parking Area,E01033468,Middlesbrough 001G,Offender given community sentence
f58b38de25270b2b484274790bbbbe109448633af434e98faed3e366559429e0,2015-11,Cleveland Police,Cleveland Police,-1.229077,54.569740,On or near ABINGDON ROAD,E01012093,Middlesbrough 001E,Defendant found not guilty
b49afd305814a1cce5421653b6f6cda7e3e320bd46804fe9b8c43bd345a1fb32,2015-11,Cleveland Police,Cleveland Police,-1.322616,54.594537,On or near WHITFIELD ROAD,E01012211,Stockton-on-Tees 006B,Offender fined
2a57621a1e62f2f4ed80429ed0e71f1311316d8088ccbf9162259b18503f763b,2015-11,Cleveland Police,Cleveland Police,-1.314650,54.558284,On or near CHALK CLOSE,E01012262,Stockton-on-Tees 014A,Offender given community sentence
d1869ed817bbef34dd7aa8083d9739ddc3d245ec4c25657a5563dfe3ac4df35a,2015-11,Cleveland Police,Cleveland Police,-1.067448,54.615435,On or near HOLDER STREET,E01012100,Redcar and Cleveland 001A,Court case unable to proceed
822bd70098a4c8225f3a3fe57e95927307d83c100fbd549d4d33608511cf4626,2015-11,Cleveland Police,Cleveland Police,-1.181595,54.549459,On or near Petrol Station,E01012150,Redcar and Cleveland 021B,Court case unable to proceed
54adc0cd52038be219e6ed64d0cc5e9fa1404eeb3762adae964d07d2f4a372c4,2015-11,Cleveland Police,Cleveland Police,-1.237573,54.660643,On or near Petrol Station,E01011978,Hartlepool 012D,Offender sent to prison
7bcdd7f285094200e012e0d644f222432ba4e5dede6c96b6c95ba49ccc1e4345,2015-11,Cleveland Police,Cleveland Police,-1.310409,54.586911,On or near Supermarket,E01012259,Stockton-on-Tees 010D,Offender sent to prison
eb90f58ee5615505372a7d857a77867a8bd6e51fc1ee39610eafd7f628108aa6,2015-11,Cleveland Police,Cleveland Police,-1.087507,54.607553,On or near STAITHES ROAD,E01012106,Redcar and Cleveland 003C,Offender otherwise dealt with
b58b85ea6bf9a21c5627514cc0bde2ce91d97fe6083237381216868a4321a760,2015-11,Cleveland Police,Cleveland Police,-1.206479,54.672396,On or near THOMLINSON ROAD,E01012001,Hartlepool 008D,Offender sent to prison
72421cc7e088c8bf2ef9d41ca6339552e0bf40e0cbd84909b876a8350d884c59,2015-11,Cleveland Police,Cleveland Police,-1.321099,54.560055,On or near OUTRAM STREET,E01033477,Stockton-on-Tees 014G,Offender sent to prison
29c02ea1912c34af297ca1be6918ba6dcd325f88008ccc7742d23086cbcea09b,2015-11,Cleveland Police,Cleveland Police,-1.245314,54.568243,On or near PARLIAMENT ROAD,E01012040,Middlesbrough 003E,Offender otherwise dealt with
64665c2a19796591a59d2460f9c6b272fb4bd7d2443f04185bfe2f9fe245d2e7,2015-11,Cleveland Police,Cleveland Police,-1.219371,54.673711,On or near WOLVISTON ROAD,E01011987,Hartlepool 008C,Offender given community sentence
de959f8c2341a6adfeadf3064a4843bd7d3eb90faa3902e13293075ecb75d17c,2015-11,Cleveland Police,Cleveland Police,-1.216707,54.687255,On or near YORK ROAD,E01011974,Hartlepool 005B,Offender ordered to pay compensation
