Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7d7c9ef21c7e0d3bed9910c1228bff874b30c305687b8c812d7ad1c4d63286ef,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.289381,51.666773,On or near CROMWELL ROAD,E01023533,Hertsmere 007E,Investigation complete; no suspect identified
b9c1bbd20934ae8192e3f9ef6823a3b4468fb6a13b22a542fd8f8faa609803b9,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.265253,51.659423,On or near Police Station,E01023541,Hertsmere 011C,Investigation complete; no suspect identified
10b3a0bcff34289cb83774f70ec892b3a574197d7b939ea15130a23bb1ac677c,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.255373,51.644107,On or near Shopping Area,E01023543,Hertsmere 011E,Investigation complete; no suspect identified
57468a5d90ebcb872206c84a7ee3cf5db9a92f89ee79f96037e98e88905720fe,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.285756,51.659391,On or near HOLME PARK,E01023532,Hertsmere 007D,Investigation complete; no suspect identified
42d470a371e577a60696785135e58338dfd898a9f9449bfb1ff098e8ed738900,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.272329,51.662683,On or near BROUGHINGE ROAD,E01023538,Hertsmere 006E,Investigation complete; no suspect identified
55daf5c52bf753e62217fc3463f0b301f92da3f94d04171b0c903738045c73bc,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.291562,51.665680,On or near Supermarket,E01023529,Hertsmere 007A,Investigation complete; no suspect identified
0bab2894811ae0118d5c1c932d65a1f257c4c1ecd142bc60f612b462ff69148a,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.288935,51.639466,On or near EDGWAREBURY LANE,E01023566,Hertsmere 010D,Investigation complete; no suspect identified
502dfbd793d65db0dcbb601006c065ded656803245eb356e63fd5878420d6ed9,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.319550,51.685417,On or near STATION ROAD,E01023526,Hertsmere 005D,Investigation complete; no suspect identified
6108d709049c54b8a87ee24dc9d7d3f8df2e18d4ebc7f4dd45ec0672ae7b370d,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.224752,51.691324,On or near SWANLAND ROAD,E01023584,Hertsmere 004D,Investigation complete; no suspect identified
51d98996221663878d4eb345eb7b832f2ef1b692c376ae9d31973e086a6a1469,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.304488,51.637057,On or near A41,E01023564,Hertsmere 010B,Investigation complete; no suspect identified
a2bc4e86a616481afb81d181a789d753ce204ae6997a586c4d3914171f3395b4,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.285756,51.659391,On or near HOLME PARK,E01023532,Hertsmere 007D,Investigation complete; no suspect identified
1dc6a41dbe54306b42ed3b125271dc6b3e215bdb172096ea776592502fd56b7a,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.292481,51.665874,On or near FARRANT WAY,E01023529,Hertsmere 007A,Investigation complete; no suspect identified
c7b2012f716b995a2cdeefbf9ea0ca72e7a0cd60a262e99e8d77f5bd9f677c73,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.256622,51.649988,On or near MONKSWOOD GARDENS,E01023547,Hertsmere 009D,Investigation complete; no suspect identified
3c48e3d182415af8f6bafe94a8e5a936c763ac45ddb3bd13283feab7025250ed,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.304488,51.637057,On or near A41,E01023564,Hertsmere 010B,Investigation complete; no suspect identified
4aeb90a148a78f4767eed6b5c22755f4ccc044904eb590841c3fdfe5d489128a,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.273348,51.657924,On or near GROSVENOR ROAD,E01023530,Hertsmere 007B,Investigation complete; no suspect identified
8aab0db21c10fc8aa5d40ef7fa4993e706f873efb2133d3023f426179117493d,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.233825,51.694617,On or near FROWYCKE CRESCENT,E01023584,Hertsmere 004D,Investigation complete; no suspect identified
151a59f7721908f31ba1c79cffeaa51d285b04d512bd7e1491b7c55ef72bb48f,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.277077,51.661386,On or near ABERFORD ROAD,E01023532,Hertsmere 007D,Investigation complete; no suspect identified
09e42c21f561d559bba67159bee4c6dfe2b9a31f7885741504d76dc28eb45c62,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.276548,51.657422,On or near ESSEX ROAD,E01023532,Hertsmere 007D,Investigation complete; no suspect identified
f0d7c34e85569f6b91132ec07ddd19cd8650e35612ec740076d3a0d9f3f540fa,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.257452,51.668282,On or near KENT CLOSE,E01023544,Hertsmere 009A,Investigation complete; no suspect identified
88cc7dc5e57021431d79be232bb9bd7170bb10852814048b1b008427fc341cbb,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.255373,51.644107,On or near Shopping Area,E01023543,Hertsmere 011E,Investigation complete; no suspect identified
c2ef8a42ef79ab06497cb54d0309d6a7fb5e830eb5303bec4d8530fb4716730b,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.256999,51.652961,On or near PENSCROFT GARDENS,E01023546,Hertsmere 009C,Investigation complete; no suspect identified
3c1587b99e4da2ba77cc22052b50b73dfc4f360e1a3bd52f54ef4783cd00594d,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.261189,51.651135,On or near ARUNDEL DRIVE,E01023542,Hertsmere 011D,Investigation complete; no suspect identified
a6155e60d40881d878517eee14c3678384449a886ca78c92aa1fbc49c443df82,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.261189,51.651135,On or near ARUNDEL DRIVE,E01023542,Hertsmere 011D,Investigation complete; no suspect identified
7ac6fba5e204d1c0d55660ae19e6102b1209ecd7aa5aad9a76e871e4459309ab,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.316332,51.682467,On or near Supermarket,E01023525,Hertsmere 005C,Investigation complete; no suspect identified
1da666c7dfdb551b08b9671ce5f777b90726b6193393057398b4ed55323caf0e,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.273256,51.671770,On or near STANBOROUGH AVENUE,E01023534,Hertsmere 006A,Investigation complete; no suspect identified
2e19633ceef5109425848a308b93d7a1e4af91eecf9d2d3fdf5a7eb50029cd82,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.271270,51.664682,On or near HARTFORDE ROAD,E01023537,Hertsmere 006D,Investigation complete; no suspect identified
65fea3e70160ae6a8bd53242ebfe2bded6583fbbeec28b6edfc63da474d1b66b,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.304488,51.637057,On or near A41,E01023564,Hertsmere 010B,Investigation complete; no suspect identified
a626d389548222e5be3e674729ca4f662e61de48befdf6db87290b98fd60a3b6,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.279016,51.653331,On or near STATION ROAD,E01023539,Hertsmere 011A,Investigation complete; no suspect identified
7e36a5b8b1f8ef362f92fc19ab840e1d48527c31e5d01809b0071d6be1781ddb,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.283750,51.663480,On or near BEECH DRIVE,E01023531,Hertsmere 007C,Investigation complete; no suspect identified
1f738bf9ca26b584781607062db45c5901ea36e3d366d3096b4d0bbfe2579406,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.277643,51.665918,On or near RANSKILL ROAD,E01023538,Hertsmere 006E,Investigation complete; no suspect identified
10846684b91de1850a43f670ebfbae01d479554ad6334411240216e78beb1ce5,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.322685,51.684365,On or near HIGH FIRS,E01023525,Hertsmere 005C,Investigation complete; no suspect identified
166af32e5bfff6e2775f39e4c5a625cfcc736700d93365f54f645af1cf30a09b,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.260182,51.657055,On or near DURHAM ROAD,E01023546,Hertsmere 009C,Investigation complete; no suspect identified
4efeab2243bac2f7c6dfd22b32f2d657626d937975273ca4a47dc4b8807ade49,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.280496,51.657777,On or near CHATSWORTH CLOSE,E01023532,Hertsmere 007D,Investigation complete; no suspect identified
419eceb81cd33eec7e7b3feb1856fcd9de5265ff2ff5b15728d14e20169adecd,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.318144,51.679633,On or near CHURCH CLOSE,E01023525,Hertsmere 005C,Investigation complete; no suspect identified
47a23a351ad89b04fdcae97c03f82df400de897b31dbabe877a774ad26f3b050,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.258713,51.647088,On or near ASHLEY DRIVE,E01023543,Hertsmere 011E,Investigation complete; no suspect identified
a29b1a330bdf65c72150599312189b73bd796400b2ee7650b5fca5cd91b67e6d,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.323707,51.695071,On or near WATLING KNOLL,E01023526,Hertsmere 005D,Investigation complete; no suspect identified
9ecf6cce046d8e008089d5f82a0cb09a2ddfa135114ca883cea8a6a232c1ef90,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.266150,51.649545,On or near OAK FARM,E01023540,Hertsmere 011B,Investigation complete; no suspect identified
