Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5fa1d1468da0d911faef6b351111b25520b25aebf140eacc9fd316c7ae6b6abf,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
21176bac265cb036093a23644df563616d8b1d3deb5b12cf7e6da050fe485e93,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
821017c57e70c8a057049bf870577f3414735dc490f676f2a6b639f29b87341a,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
bd646b5f276095f0965df929e49e639dc80477001669b11bb3453b7362587fdc,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
b906c7abd2232d30453b13586472a5d5734cac26a70b3388661ce48517625665,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
5c04358cd444ddeb0bcecd2eae4ee508e3e42ebcf43ab146e645e214703666c9,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.502150,52.345048,On or near BRIDGE STREET,E01030244,Waveney 015C,Investigation complete; no suspect identified
6f53bf12b408d5f1bf7461ee7c261912f55a78f93d1f47772aa1031768c0ae68,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.734916,52.455467,On or near ALL SAINTS' ROAD,E01030276,Waveney 007E,Investigation complete; no suspect identified
68930eeeb878c1a522643e83751ea75daf7ddb73ce456af0277515f9d6cc72a1,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.140195,52.061406,On or near RENDLESHAM ROAD,E01030023,Ipswich 006B,Investigation complete; no suspect identified
b59c7743fd62aed1b24d7a8a881f6279e4d98a3ca8989487f8e62e13740fd98c,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.701510,52.258088,On or near BEETONS WAY,E01030130,St Edmundsbury 003A,Investigation complete; no suspect identified
c77d7dc0a1cbf2a6706290af705a04e06f12856ddc726b2b64b88db8fa4e07eb,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.145270,52.054930,On or near Sports/Recreation Area,E01029988,Ipswich 010E,Investigation complete; no suspect identified
6cc0b87867cce0fe23ee65420eb452aa28c6eac4bef1d99e06e32866c9e304f9,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.154448,52.055773,On or near OLD CATTLE MARKET,E01033125,Ipswich 007G,Investigation complete; no suspect identified
a89004ddaa9d40a35c869c2e99e555cd94271b7922c1d29358b78e39ca333f2a,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.190735,52.043741,On or near BADSHAH AVENUE,E01029996,Ipswich 014D,Investigation complete; no suspect identified
8f79ce8b39e282984505b755296fce74b8885449c9483859ce96af0c775098af,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.768514,52.263298,On or near CHURCH ROAD,E01030104,St Edmundsbury 004B,Investigation complete; no suspect identified
d724613ac895ff1c37397b96bfb311c09289ad987a5c5b9fb28bc7c2efd4434f,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.614728,52.208281,On or near CHURCH ROAD,E01030100,St Edmundsbury 008B,Investigation complete; no suspect identified
080df6fb1d51268e54d136e8e05154f0fad0eebcd852561e29c7038b2f8c891c,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.131101,51.971646,On or near LARKSFIELD ROAD,E01029871,Babergh 011A,Investigation complete; no suspect identified
